feature_1,feature_2,class
4.4427,1.9163,1.0
4.3914,1.7481,1.0
-2.6787,8.8839,0.0
4.4192,2.1373,1.0
-6.9721,-6.8026,2.0
-2.47,8.8186,0.0
-6.7512,-6.9342,2.0
-6.8206,-6.8011,2.0
-2.4484,9.1586,0.0
-2.4262,9.1069,0.0
-6.9261,-6.878,2.0
4.4692,1.8393,1.0
-6.929,-7.2653,2.0
-6.7884,-7.489,2.0
4.853,1.9216,1.0
4.4096,1.4054,1.0
-7.0224,-6.6444,2.0
-6.757,-6.6526,2.0
4.5217,2.0612,1.0
4.6898,2.053,1.0
-2.6196,9.5259,0.0
-2.4415,8.9552,0.0
4.504,1.3903,1.0
-2.9032,9.1928,0.0
4.6114,2.0409,1.0
-6.7939,-6.726,2.0
-7.025,-7.0556,2.0
-7.0393,-6.6764,2.0
-2.4853,8.8197,0.0
4.6552,1.8708,1.0
4.6296,2.0738,1.0
4.8364,1.6932,1.0
5.1176,2.21,1.0
-2.324,9.3962,0.0
-7.1461,-6.6459,2.0
4.5804,1.9239,1.0
4.3613,1.9663,1.0
-6.8422,-6.889,2.0
-6.4554,-6.6845,2.0
-2.6021,9.1067,0.0
4.3665,2.0917,1.0
-6.7546,-6.914,2.0
4.4923,2.0094,1.0
4.6402,2.0561,1.0
-7.0646,-6.8264,2.0
-6.5929,-6.8418,2.0
-2.5809,8.8848,0.0
4.2464,1.9689,1.0
-2.4405,8.6617,0.0
-2.5534,9.0197,0.0
4.3033,1.7684,1.0
4.6436,1.7388,1.0
-6.9091,-7.0114,2.0
4.526,1.9484,1.0
-6.7389,-6.8957,2.0
-2.4842,8.9284,0.0
-6.8984,-6.6475,2.0
4.814,2.1629,1.0
4.4951,1.9341,1.0
-6.8502,-7.0162,2.0
-6.6553,-6.8343,2.0
-6.8356,-6.6736,2.0
-2.7055,9.1067,0.0
-2.6893,9.142,0.0
4.4413,1.6841,1.0
4.6927,1.9651,1.0
-2.513,8.8138,0.0
-2.3939,9.0765,0.0
-7.0805,-6.8547,2.0
4.6944,2.0567,1.0
-2.6711,9.0991,0.0
4.8458,1.9058,1.0
-7.1037,-7.0311,2.0
-2.7044,9.225,0.0
-2.8477,9.3202,0.0
-2.3447,8.7701,0.0
4.5906,1.5129,1.0
4.6078,2.4733,1.0
-2.5125,9.252,0.0
4.6451,1.9125,1.0
-2.8478,8.9946,0.0
-2.4621,9.1685,0.0
-2.8994,9.043,0.0
4.9021,1.9283,1.0
-6.7509,-6.4646,2.0
4.7573,1.932,1.0
-2.6677,8.9527,0.0
4.6011,2.0812,1.0
-6.8499,-6.9405,2.0
4.6469,1.6981,1.0
-6.6806,-6.6926,2.0
4.6134,1.9876,1.0
4.7763,1.9984,1.0
-6.8873,-6.7164,2.0
-2.4826,8.8743,0.0
4.5189,2.0727,1.0
-6.9036,-6.5773,2.0
-7.0663,-6.7454,2.0
4.324,1.8096,1.0
-7.2217,-6.9587,2.0
-7.125,-7.0161,2.0
4.054,2.3838,1.0
-6.7913,-7.1669,2.0
-2.47,8.8335,0.0
-2.612,8.8024,0.0
4.7709,2.1353,1.0
-2.5186,9.1097,0.0
4.712,2.074,1.0
-2.292,9.0339,0.0
-2.3608,9.0741,0.0
4.6192,1.7254,1.0
-2.6786,8.7113,0.0
-3.0498,9.1499,0.0
-2.4713,9.2145,0.0
4.4788,2.1885,1.0
4.9257,1.6783,1.0
-6.6003,-6.7911,2.0
-2.4558,9.1922,0.0
-6.7178,-6.6336,2.0
-2.4647,9.2701,0.0
-2.424,9.0181,0.0
-2.5205,9.2581,0.0
-2.4927,8.7228,0.0
-2.7612,8.891,0.0
4.1625,1.874,1.0
-2.5334,9.0982,0.0
-2.5602,9.3151,0.0
-2.8459,8.8531,0.0
-6.7366,-6.8903,2.0
4.724,1.8576,1.0
4.7743,2.05,1.0
-2.3647,8.9397,0.0
4.7319,2.0121,1.0
-2.6367,9.2521,0.0
4.4959,1.7884,1.0
-2.8205,9.1355,0.0
-2.2972,9.1377,0.0
4.6573,1.7659,1.0
-2.9336,8.8927,0.0
-2.5005,9.1259,0.0
-6.858,-6.3587,2.0
-2.7988,8.7328,0.0
-7.0447,-6.9787,2.0
-2.1399,8.8003,0.0
-6.69,-6.9413,2.0
4.6955,1.8713,1.0
-7.0453,-6.743,2.0
4.3603,2.2137,1.0
4.9777,2.3072,1.0
-2.3649,8.7885,0.0
4.8136,1.7359,1.0
-6.9669,-6.6658,2.0
4.6895,1.9888,1.0
-6.6586,-6.9556,2.0
4.7571,1.8258,1.0
-2.9026,8.7908,0.0
-7.0794,-7.1246,2.0
4.6104,2.166,1.0
4.6702,2.0329,1.0
4.8975,1.9761,1.0
4.7963,1.815,1.0
4.5495,1.8153,1.0
4.6176,2.033,1.0
-7.0018,-6.9283,2.0
-2.2371,8.7525,0.0
-7.0525,-6.5622,2.0
-6.9644,-7.0332,2.0
-2.615,8.803,0.0
-2.2561,8.8411,0.0
4.7247,1.9811,1.0
4.0992,2.041,1.0
-2.3585,9.0905,0.0
-7.0033,-6.7004,2.0
4.7861,2.0809,1.0
-6.7538,-6.9399,2.0
-2.8215,9.315,0.0
4.876,1.8477,1.0
4.2736,1.7275,1.0
4.6273,2.0214,1.0
-2.4938,8.7577,0.0
-2.4315,9.5129,0.0
-2.5539,9.1571,0.0
-7.0266,-7.16,2.0
4.5437,2.1124,1.0
-2.8049,8.8703,0.0
4.5237,1.8509,1.0
-2.7498,8.8059,0.0
4.5758,1.6173,1.0
-7.089,-6.7445,2.0
-6.7736,-6.904,2.0
4.6285,2.21,1.0
4.4853,1.799,1.0
-2.5256,9.2377,0.0
-6.8292,-7.2742,2.0
-2.3732,9.2528,0.0
4.3527,1.71,1.0
-2.5814,9.2462,0.0
-6.8355,-6.9505,2.0
4.3615,2.314,1.0
-2.6509,8.7115,0.0
-2.6327,8.9511,0.0
-6.9236,-6.9056,2.0
-7.0445,-7.0919,2.0
4.5065,2.0128,1.0
4.7161,2.0355,1.0
4.6511,1.9112,1.0
-7.0465,-6.927,2.0
-2.3009,9.131,0.0
-2.0777,8.8931,0.0
-6.9483,-6.6517,2.0
-6.842,-7.0503,2.0
4.3946,2.4125,1.0
-2.5737,8.9641,0.0
-2.1739,8.8252,0.0
4.3855,2.0154,1.0
4.8065,1.8471,1.0
-2.3467,9.2855,0.0
-2.3079,8.8989,0.0
-2.5985,9.1856,0.0
4.8762,2.4419,1.0
-2.1284,9.3395,0.0
4.5623,2.2344,1.0
-7.1204,-6.8351,2.0
4.758,1.9291,1.0
-2.3096,8.435,0.0
4.4003,2.1506,1.0
-2.8085,8.8843,0.0
-7.0525,-6.653,2.0
5.0471,2.067,1.0
-2.5992,9.2657,0.0
4.6957,2.0315,1.0
-6.5765,-6.6508,2.0
-6.9809,-6.916,2.0
-2.3431,8.8431,0.0
-2.386,9.2551,0.0
-6.3736,-6.9257,2.0
-7.2017,-6.7295,2.0
-2.7151,8.7438,0.0
4.777,1.9448,1.0
-6.6363,-6.849,2.0
4.711,2.0115,1.0
4.4642,1.9931,1.0
-2.4392,8.8135,0.0
-2.4185,8.8178,0.0
-2.4359,8.8263,0.0
4.7481,2.1484,1.0
-6.9478,-6.6757,2.0
4.5916,2.2665,1.0
-6.7925,-6.8468,2.0
-6.6691,-7.2487,2.0
-6.9683,-6.9342,2.0
4.5141,1.4495,1.0
-2.6315,8.733,0.0
4.5092,1.8959,1.0
-7.1499,-6.9401,2.0
4.6488,1.624,1.0
-2.6203,9.0552,0.0
-6.862,-6.9682,2.0
-6.7486,-6.8287,2.0
-7.0402,-7.0265,2.0
-2.6529,8.9716,0.0
4.4707,1.9703,1.0
4.7554,1.9474,1.0
-7.1524,-6.9865,2.0
4.6272,1.8412,1.0
