N,r_percent,r_actual,trial,algo,duration_ms
100,-,-,1,point,0.620
100,-,-,1,point_ikj,0.197
100,-,-,1,par_point,0.867
100,-,-,1,par_point_ikj,0.133
100,-,-,1,par_point_ikj_reduce,0.204
100,0,1,1,block,3.157
100,0,1,1,block_ikj,5.979
100,0,1,1,par_block_ikj,0.895
100,0,1,1,par_block_ikj2,0.588
100,0,1,1,par_block_pairs,1.577
100,2,2,1,block,1.059
100,2,2,1,block_ikj,1.960
100,2,2,1,par_block_ikj,0.360
100,2,2,1,par_block_ikj2,0.371
100,2,2,1,par_block_pairs,0.571
100,3,3,1,block,0.749
100,3,3,1,block_ikj,1.314
100,3,3,1,par_block_ikj,0.308
100,3,3,1,par_block_ikj2,0.821
100,3,3,1,par_block_pairs,0.382
100,-1,4,1,block,0.637
100,-1,4,1,block_ikj,1.034
100,-1,4,1,par_block_ikj,0.347
100,-1,4,1,par_block_ikj2,0.458
100,-1,4,1,par_block_pairs,0.298
100,5,5,1,block,0.619
100,5,5,1,block_ikj,0.747
100,5,5,1,par_block_ikj,0.268
100,5,5,1,par_block_ikj2,0.521
100,5,5,1,par_block_pairs,0.340
100,7.5,8,1,block,0.592
100,7.5,8,1,block_ikj,0.708
100,7.5,8,1,par_block_ikj,0.212
100,7.5,8,1,par_block_ikj2,0.430
100,7.5,8,1,par_block_pairs,0.284
100,10,10,1,block,0.560
100,10,10,1,block_ikj,0.455
100,10,10,1,par_block_ikj,0.212
100,10,10,1,par_block_ikj2,0.300
100,10,10,1,par_block_pairs,0.221
100,15,15,1,block,0.558
100,15,15,1,block_ikj,0.405
100,15,15,1,par_block_ikj,0.193
100,15,15,1,par_block_ikj2,0.346
100,15,15,1,par_block_pairs,0.315
100,-1,16,1,block,0.494
100,-1,16,1,block_ikj,0.456
100,-1,16,1,par_block_ikj,0.204
100,-1,16,1,par_block_ikj2,0.285
100,-1,16,1,par_block_pairs,0.302
100,-1,20,1,block,0.511
100,-1,20,1,block_ikj,0.325
100,-1,20,1,par_block_ikj,0.153
100,-1,20,1,par_block_ikj2,0.234
100,-1,20,1,par_block_pairs,0.250
100,30,30,1,block,0.490
100,30,30,1,block_ikj,0.274
100,30,30,1,par_block_ikj,0.146
100,30,30,1,par_block_ikj2,0.295
100,30,30,1,par_block_pairs,0.186
100,-1,32,1,block,0.495
100,-1,32,1,block_ikj,0.291
100,-1,32,1,par_block_ikj,0.209
100,-1,32,1,par_block_ikj2,0.537
100,-1,32,1,par_block_pairs,0.193
100,40,40,1,block,0.503
100,40,40,1,block_ikj,0.260
100,40,40,1,par_block_ikj,0.152
100,40,40,1,par_block_ikj2,0.311
100,40,40,1,par_block_pairs,0.241
100,50,50,1,block,0.555
100,50,50,1,block_ikj,0.213
100,50,50,1,par_block_ikj,0.149
100,50,50,1,par_block_ikj2,0.361
100,50,50,1,par_block_pairs,0.144
100,-1,64,1,block,0.557
100,-1,64,1,block_ikj,0.227
100,-1,64,1,par_block_ikj,0.174
100,-1,64,1,par_block_ikj2,0.459
100,-1,64,1,par_block_pairs,0.163
100,75,75,1,block,0.740
100,75,75,1,block_ikj,0.273
100,75,75,1,par_block_ikj,0.289
100,75,75,1,par_block_ikj2,0.534
100,75,75,1,par_block_pairs,0.129
100,100,100,1,block,0.639
100,100,100,1,block_ikj,0.198
100,100,100,1,par_block_ikj,0.186
100,100,100,1,par_block_ikj2,0.666
100,100,100,1,par_block_pairs,0.201
100,-,-,2,point,0.620
100,-,-,2,point_ikj,0.179
100,-,-,2,par_point,0.188
100,-,-,2,par_point_ikj,0.146
100,-,-,2,par_point_ikj_reduce,0.191
100,0,1,2,block,3.287
100,0,1,2,block_ikj,5.605
100,0,1,2,par_block_ikj,0.996
100,0,1,2,par_block_ikj2,0.617
100,0,1,2,par_block_pairs,1.159
100,2,2,2,block,1.048
100,2,2,2,block_ikj,1.948
100,2,2,2,par_block_ikj,0.388
100,2,2,2,par_block_ikj2,0.296
100,2,2,2,par_block_pairs,0.805
100,3,3,2,block,0.799
100,3,3,2,block_ikj,1.312
100,3,3,2,par_block_ikj,0.384
100,3,3,2,par_block_ikj2,0.462
100,3,3,2,par_block_pairs,0.445
100,-1,4,2,block,0.613
100,-1,4,2,block_ikj,1.074
100,-1,4,2,par_block_ikj,0.290
100,-1,4,2,par_block_ikj2,0.302
100,-1,4,2,par_block_pairs,0.884
100,5,5,2,block,0.600
100,5,5,2,block_ikj,0.770
100,5,5,2,par_block_ikj,0.339
100,5,5,2,par_block_ikj2,0.416
100,5,5,2,par_block_pairs,0.480
100,7.5,8,2,block,0.556
100,7.5,8,2,block_ikj,0.641
100,7.5,8,2,par_block_ikj,0.214
100,7.5,8,2,par_block_ikj2,0.313
100,7.5,8,2,par_block_pairs,0.341
100,10,10,2,block,0.707
100,10,10,2,block_ikj,0.449
100,10,10,2,par_block_ikj,0.303
100,10,10,2,par_block_ikj2,0.417
100,10,10,2,par_block_pairs,0.553
100,15,15,2,block,0.517
100,15,15,2,block_ikj,0.372
100,15,15,2,par_block_ikj,0.238
100,15,15,2,par_block_ikj2,0.446
100,15,15,2,par_block_pairs,0.241
100,-1,16,2,block,0.497
100,-1,16,2,block_ikj,0.399
